chrom,window number,relative entropy
1,1,3.58792482458309
1,2,3.7673167496391886
1,3,2.6387038036496984
1,4,3.6758221299927105
1,5,4.167041043136262
1,6,3.0161639675058542
1,7,2.4702100333763637
1,8,2.9244382595110756
1,9,3.3487774341053753
1,10,2.140025107379367
1,11,4.078540308748196
1,12,3.488232111912127
1,13,1.9286198312475604
1,14,1.2056181630396487
1,15,2.7022630343192344
1,16,2.750811218821466
1,17,2.353663704275845
1,18,1.7715730050761642
1,19,3.5898331216477004
1,20,2.5145722613103176
1,21,3.4767655796677124
1,22,1.0564112814534312
1,23,2.8625866825780575
1,24,2.9776272862725435
1,25,2.662399076924837
1,26,2.9195552000619043
1,27,1.2825182616398183
1,28,2.5774378002473317
1,29,3.9484813954166573
1,30,1.2409331995458184
1,31,2.6155614475799784
1,32,2.7550553454802107
1,33,3.724712009484426
1,34,2.896779575503003
1,35,2.7654801302973646
1,36,4.173572327288752
1,37,3.861963313056174
1,38,3.792899246833218
1,39,3.850913671827868
1,40,3.1480321235780844
1,41,3.7157618583706253
1,42,3.4324726174025146
1,43,2.6289248331723565
1,44,3.5448333499005944
1,45,3.871483405633962
1,46,3.029770525728878
1,47,1.0
1,48,3.7850374467834826
1,49,3.6838420889005583
1,50,4.2479611078515465
1,51,3.732464136800103
1,52,3.2283924914191013
1,53,2.558822675933339
1,54,0.35590321271545755
1,55,0.424825912296599
1,56,0.37147580952842996
1,57,3.1876180245624326
1,58,3.385254457289596
1,59,3.57351396544565
1,60,3.238802418821962
1,61,1.6886100100972625
1,62,4.140981370267963
1,63,3.6435657497581704
1,64,3.5112837043409546
1,65,4.00507921874927
1,66,3.2627664023638587
1,67,3.628595181941645
1,68,3.715407647086776
1,69,3.7237749075337923
1,70,3.993889440056571
1,71,3.5004872142367787
1,72,2.9378622804637144
1,73,3.4299494556489463
1,74,3.745376951933749
1,75,3.637428459783227
1,76,3.9506400706682956
1,77,3.6299791935572494
1,78,3.268409298948308
1,79,3.603802932070031
1,80,3.0837934787507293
1,81,3.733254143198852
1,82,3.3619363328973186
1,83,3.535680769962561
1,84,3.2009365442487154
1,85,3.731809968089126
1,86,3.7694122252227964
1,87,3.1256477150542756
1,88,3.8641926799351367
1,89,4.015628862511362
1,90,3.973466398218436
1,91,3.569202179023705
1,92,3.932534019495664
1,93,3.816817637027645
1,94,3.8241949438277896
1,95,3.7772251522488767
1,96,3.8997847076742445
1,97,3.5565795404803366
1,98,3.452601396235647
1,99,4.273042600708138
1,100,4.073100356604685
1,101,3.9514275199414146
1,102,3.810668292335696
1,103,4.00076285659978
1,104,4.18952887197505
1,105,4.086009273688862
1,106,3.5598901072724556
1,107,3.7107712109479856
1,108,3.880706015170291
1,109,3.7915922487000984
1,110,3.31480760082182
1,111,3.666106364270993
1,112,3.658316285408734
1,113,3.863079431089432
1,114,3.5864756513543203
1,115,3.73881815543855
1,116,3.9052742264740954
1,117,3.9569067248605134
1,118,3.4681200418366847
1,119,3.9589245530831434
1,120,3.2869745023361867
1,121,4.001826164046874
1,122,3.5520279320023915
1,123,4.065031949311691
1,124,4.108701067283911
1,125,4.263288462212764
1,126,4.1010764793149415
1,127,3.7216412417074287
1,128,3.650188393536585
1,129,3.8638931219956185
1,130,4.249746112785867
1,131,4.318797127033011
1,132,4.652418953988747
1,133,4.451949314009642
1,134,4.014737106669533
1,135,3.7021312954040395
1,136,4.420220715884344
1,137,4.611181534944467
1,138,4.699259909307555
1,139,4.5349255137576305
1,140,4.225560921760926
1,141,4.6230973169365
1,142,4.164884975840888
1,143,3.9116121840568763
1,144,4.577279609441533
1,145,4.039003800283374
1,146,4.312888969802576
1,147,3.9861666505382343
1,148,4.070142699876256
1,149,3.9814716974531272
1,150,4.327016936368689
1,151,3.824005363174565
1,152,3.811819316633932
1,153,4.179240819217788
1,154,4.34122951510957
1,155,4.023889730186673
1,156,4.413384320980264
1,157,4.126469696993037
1,158,3.859752449563966
1,159,3.6643130949425626
1,160,4.128388437922098
1,161,4.700075066049641
1,162,4.620541326233512
1,163,4.019966175152382
1,164,3.7649298929154877
1,165,3.5342607340079493
1,166,3.677795689863947
1,167,3.7188645258310635
1,168,4.180780748502569
1,169,4.4793314753965605
1,170,4.710527983654436
1,171,4.321136743390179
1,172,4.438288979531488
1,173,3.964419805927344
1,174,4.9254663152889675
1,175,4.793981649913313
1,176,4.80516281469296
1,177,4.59542349675715
1,178,4.064342687651786
1,179,3.7308234632572215
1,180,3.779408693467882
1,181,5.649449461345718
1,182,4.018875692166064
1,183,3.763777696832332
1,184,4.141646144900019
1,185,3.882309635947846
1,186,3.8070475437726836
1,187,4.044623367031161
1,188,1.2019746752719
1,189,4.391768864080304
1,190,3.9598441351624625
1,191,3.9827041245251924
1,192,4.356558152356369
1,193,4.8522050474886065
1,194,3.9728166151475652
1,195,4.110943988936648
1,196,3.540939157132991
1,197,4.236524911929249
1,198,5.466792937257433
1,199,4.398752711894977
1,200,4.032186685645586
1,201,3.65274567291983
1,202,3.9561016213883464
1,203,4.212399337305807
1,204,4.017611990173347
1,205,4.35213237483964
1,206,4.979865863335828
1,207,5.12926577109311
1,208,4.609402020962719
1,209,3.8674300836815356
1,210,4.1559495481124955
1,211,5.047484850210262
1,212,4.5126676849601175
1,213,4.424543845955552
1,214,4.758928250995304
1,215,4.28887495108806
1,216,4.741007459388331
1,217,4.0951950362553555
1,218,4.198990702578229
1,219,4.185917801283605
1,220,3.7090523066953534
1,221,4.211425430246456
1,222,4.11197009714361
1,223,5.146512742417263
1,224,5.166971992910023
1,225,5.0751554781281705
1,226,4.035794416694409
1,227,4.078505367729983
1,228,3.6252813116583
1,229,3.5564004935253037
1,230,4.613919573609382
1,231,4.106625939969689
1,232,3.6726704099146112
1,233,3.501900396219852
1,234,4.605633712714067
1,235,4.738153225640868
1,236,4.015655420000048
1,237,4.649459751104775
1,238,3.585575106912522
1,239,3.243982487646222
1,240,4.0035763968509475
1,241,4.032494809430039
